a,a,a,a,a,a
300017,Atkinson County - SR 50 MSW Landfill,9/24/08,4953-003-0017-V-02-0,VN-17437,Title V
5700052,International Marble,9/17/08,3281-057-0052-V-02-0,VN-18098,Title V
30500001,"Rayonier Performance Fibers, LLC",12/4/08,2631-305-0001-V-03-1,VN-18426,Title V
24500021,US Army Signal Center & Fort Gordon,3/9/10,9711-245-0021-V-02-0,VN-18463,Title V
18500100,Robalo Boats LLC,7/15/09,3732-185-0100-V-02-0,VN-18536,Title V
11500003,Ga Power Company - Plant Hammond,11/16/09,4911-115-0003-V-02-9,VN-18666,Title V
6700003,Ga Power Company - Plant McDonough/Atkinson,11/16/09,4911-067-0003-V-02-6,VN-18668,Title V
9500002,Ga Power Company - Plant Mitchell,11/16/09,4911-095-0002-V-02-4,VN-18672,Title V
1500011,Ga Power Company - Plant Bowen,7/21/09,4911-015-0011-V-02-8,VN-18677,Title V
6700003,Ga Power Company - Plant McDonough/Atkinson,10/30/08,4911-067-0003-V-02-3,VN-17875,Title V
14900001,Ga Power Company - Plant Wansley,10/30/08,4911-149-0001-V-02-3,VN-17879,Title V
29700036,Goodyear Tire & Rubber Company,4/3/08,3061-297-0036-V-06-3,VN-17968,Title V
26900014,"WI Taylor County Disposal, LLC",1/29/09,4953-269-0014-V-03-1,VN-18126,Title V
21100013,GEORGIA-PACIFIC WOOD PRODUCTS LLC (MADISON PLYWOOD),9/10/08,2436-211-0013-V-02-3,VN-18289,Title V
8100054,Norbord Georgia Inc,9/23/08,2493-081-0054-V-03-0,VN-17845,Title V
8700053,Bainbridge Power Facility,9/18/09,4911-087-0053-V-02-3,VN-18698,Title V
28500032,Milliken & Co Live Oak/Milstar Complex,4/29/08,2273-285-0032-V-02-1,VN-18030,Title V
5100205,Superior Landfill & Recycling Center,12/4/08,4953-051-0205-V-01-5,VN-18069,Title V
8900128,Transmontaigne Operating Co LP,10/29/08,5171-089-0128-V-03-1,VN-17855,Title V
21500181,Pine Grove Landfill,10/29/08,4953-215-0181-V-02-0,VN-18150,Title V
21300034,Thomas A. Smith Energy Facility,7/29/09,4911-213-0034-V-05-0,VN-18299,Title V
3500010,Pine Ridge Municipal Solid Waste Landfill,10/20/08,4953-035-0010-V-02-1,VN-18322,Title V
29700036,Goodyear Tire & Rubber Company,12/4/08,3061-297-0036-V-06-5,VN-18455,Title V
29900050,L.F. Manufacturing Inc.,6/18/09,3089-299-0050-V-02-0,VN-18066,Title V
19300013,Weyerhaeuser NR Company - Flint River Operations,8/26/09,2631-193-0013-V-02-2,VN-18143,Title V
14900001,Ga Power Company - Plant Wansley,11/25/08,4911-149-0001-V-02-4,VN-18330,Title V
17500058,Rentz Cabinet Corp,5/19/09,2434-175-0058-V-02-1,VN-18720,Title V
3300030,Southern Nuclear Operating Company - Plant Vogtle,6/11/10,4911-033-0030-V-02-3,VN-18986,Title V
7700001,GA POWER CO. - PLANT YATES,7/27/10,4911-077-0001-V-03-0,VN-18989,Title V
24500009,"Boral Bricks - Augusta Plants 3, 4, & 5",11/30/10,3251-245-0009-V-03-0,VN-18902,Title V
13500235,"Quality Investment Properties Suwanee, LLC",11/16/09,7376-135-0235-V-05-1,VN-18903,Title V
5100149,Hunter Army Airfield,11/20/09,9711-051-0149-V-02-1,VN-18906,Title V
5100037,EMD MILLIPORE CORPORATION,10/23/09,2816-051-0037-V-02-2,VN-18999,Title V
31900009,"BASF Corporation, Edgar Plant",5/12/10,3295-319-0009-V-02-1,VN-19577,Title V
5100110,"Imperial-Savannah, L.P.",9/17/09,2062-051-0110-V-02-2,VN-19126,Title V
15300041,Graphic Packaging International Inc.,12/17/09,2657-153-0041-V-04-1,VN-19244,Title V
18500001,PCA Valdosta Mill,3/16/10,2631-185-0001-V-02-2,VN-19472,Title V
1500061,Anheuser-Busch Inc,2/16/10,2082-015-0061-V-02-2,VN-18892,Title V
29700040,MPC Generating LLC,9/17/09,4911-297-0040-V-07-1,VN-18913,Title V
23500008,Hollingsworth & Vose Company,7/15/10,2621-235-0008-V-03-0,VN-19432,Title V
17500042,Griffin Industries Inc,3/25/10,2077-175-0042-V-02-2,VN-19346,Title V
12700002,"Pinova, Inc.",3/31/10,2861-127-0002-V-04-0,VN-19457,Title V
27700012,"Tifton Aluminum Extrusions, Inc.",9/13/10,3354-277-0012-V-04-0,VN-19458,Title V
8100019,Aquatic CO,6/7/10,3088-081-0019-V-03-1,VN-19676,Title V
3100005,"W. M. Sheppard Lumber Co Inc,",5/2/11,2421-031-0005-V-03-0,VN-19736,Title V
11500105,"General Shale Brick, Inc. - Plant 40",6/15/11,3251-115-0105-V-03-0,VN-20058,Title V
6300026,"Griffin Industries, Inc. of Georgia",7/31/12,2077-063-0026-V-02-0,VN-20607,Title V
31300131,Old Dixie Municipal Solid Waste Landfill,2/4/11,4953-313-0131-V-03-0,VN-19646,Title V
29300007,Interfor U.S. Inc.,12/6/11,2421-293-0007-V-02-0,VN-19785,Title V
13900106,"Hall County, Engineering Division",8/1/11,4953-139-0106-V-03-0,VN-19786,Title V
29300022,"Quad Graphics, Inc.",1/18/11,2752-293-0022-V-03-2,VN-19847,Title V
12700004,Ga Power Company - Plant McManus,10/25/10,4911-127-0004-V-04-2,VN-19890,Title V
7700047,"Premier Foam, Inc.",5/23/11,3086-077-0047-V-03-0,VN-19989,Title V
17500055,YKK AP America Inc,1/31/12,3354-175-0055-V-03-0,VN-20305,Title V
5100006,Ga Power Company - Plant Kraft,9/24/12,4911-051-0006-V-03-0,VN-20539,Title V
2100001,Graphic Packaging Macon Mill,1/25/11,2631-021-0001-V-03-1,VN-19917,Title V
4500051,Southwire Co-Corp Energy Mgmt,2/24/11,3357-045-0051-V-02-3,VN-20070,Title V
5900084,Athens-Clarke County MSW LF,2/15/12,4953-059-0084-V-03-0,VN-20179,Title V
13900075,"SAPA Extruder, Inc.",8/13/12,3354-139-0075-V-04-0,VN-20180,Title V
4500052,Southwire Company Carrollton Utility Products Plant,6/15/11,3357-045-0052-V-02-6,VN-20154,Title V
12100558,"Geiger International, Inc.",4/19/11,2521-121-0558-V-03-1,VN-20318,Title V
15300041,Graphic Packaging International Inc.,2/4/11,2657-153-0041-V-04-2,VN-19902,Title V
7700001,GA POWER CO. - PLANT YATES,11/21/11,4911-077-0001-V-03-1,VN-19927,Title V
6300106,Clayton County SR 3 Love Joy Landfill,7/21/11,4953-063-0106-V-03-0,VN-19979,Title V
29300024,TenCate Protective Fabrics,12/13/10,2262-293-0024-V-03-3,VN-19997,Title V
28900011,Wolf Creek Landfill,2/24/11,4953-289-0011-V-03-0,VN-19670,Title V
10300012,"Effingham County Power, LLC",2/24/11,4911-103-0012-V-04-0,VN-19725,Title V
13500219,UWL/Richland Creek Road Sanitary Landfill,5/18/12,4953-135-0219-V-03-0,VN-20092,Title V
5100008,Savannah Acid Plant LLC,6/9/11,2816-051-0008-V-05-0,VN-20385,Title V
17900011,SNF - Riceboro,11/10/11,2899-179-0011-V-02-6,VN-20530,Title V
15300042,Mid-Georgia Cogen LP,11/21/11,4931-153-0042-V-04-0,VN-20105,Title V
8900226,Woodbridge Foam Corp,8/22/11,3079-089-0226-V-02-0,VN-20185,Title V
30100012,Asama Coldwater Manufacturing Georgia,11/10/11,3321-301-0012-V-04-1,VN-20575,Title V
21100013,GEORGIA-PACIFIC WOOD PRODUCTS LLC (MADISON PLYWOOD),6/13/12,2436-211-0013-V-02-6,VN-21174,Title V
11500021,International Paper Company (Rome Linerboard Mill),11/14/13,2631-115-0021-V-03-0,VN-21357,Title V
8700053,Bainbridge Power Facility,9/24/13,4911-087-0053-V-03-0,VN-21420,Title V
12100254,PPG Industries Inc.,3/12/14,2851-121-0254-V-04-0,VN-21554,Title V
27700058,"Heatcraft Refrigeration Products, LLC",11/10/11,3585-277-0058-V-02-1,VN-20630,Title V
31300001,Shaw Industries Group Inc. Plant 81,10/10/12,2273-313-0001-V-03-0,VN-20941,Title V
27300022,"Golden Peanut Company, LLC",4/5/12,2076-273-0022-V-03-3,VN-21008,Title V
25100008,King America Finishing Inc,11/21/12,2261-251-0008-V-04-0,VN-20753,Title V
5100046,Gulfstream Aerospace Corporation,12/6/11,3721-051-0046-V-02-4,VN-20691,Title V
27300022,"Golden Peanut Company, LLC",4/19/13,2076-273-0022-V-04-0,VN-21006,Title V
11300013,Certainteed Corporation,1/10/13,2952-113-0013-V-02-1,VN-21450,Title V
11500016,GEORGIA-PACIFIC WOOD PRODUCTS SOUTH LLC LUMBER PLANT,3/28/13,2421-115-0016-V-03-0,VN-20706,Title V
6700032,Marathon Petroleum Company LP - Powder Springs Terminal,9/19/12,5171-067-0032-V-05-0,VN-20986,Title V
21700033,"General Mills Operations, Inc",1/10/13,2043-217-0033-V-02-2,VN-21283,Title V
23500008,Hollingsworth & Vose Company,8/7/12,2621-235-0008-V-03-2,VN-21234,Title V
30500031,Broadhurst Environmental Landfill,9/25/12,4953-305-0031-V-03-1,VN-21299,Title V
5100023,BASF Corporation - Savannah Operations,2/14/13,3295-051-0023-V-03-1,VN-21406,Title V
15300003,"CEMEX Southeast, LLC",7/27/12,3241-153-0003-V-05-1,VN-21138,Title V
8900334,ALATUS-Biogas Clean Energy Solution,4/19/13,4932-089-0334-V-04-0,VN-21212,Title V
15100025,"Transcontinental Gas Pipe Line Company, LLC - Compressor Station 120",10/1/13,4922-151-0025-V-03-0,VN-21607,Title V
11700025,Scientific Games International,6/28/13,2754-117-0025-V-04-4,VN-21663,Title V
17500004,"SP Fiber Technologies Southeast, LLC",7/18/14,2621-175-0004-V-04-0,VN-21818,Title V
24500002,PCS NITROGEN FERTILIZER L.P.,11/7/13,2873-245-0002-V-03-2,VN-22019,Title V
17900001,Interstate Paper LLC,12/10/14,2631-179-0001-V-03-0,VN-22121,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,2/17/14,4512-063-0105-V-02-7,VN-22218,Title V
10300003,Ga Power Co Plt McIntosh,3/1/13,4911-103-0003-V-03-1,VN-21592,Title V
6700027,Lockheed Martin Aeronautics Company,5/2/13,3721-067-0027-V-07-2,VN-21782,Title V
5100110,"Imperial-Savannah, L.P.",3/4/14,2062-051-0110-V-03-4,VN-21853,Title V
31900029,"CARBO CERAMICS, INC. - TOOMSBORO PLANT",11/17/14,3295-319-0029-V-03-1,VN-22382,Title V
19900004,Georgia-Pacific Wood Products LLC (Warm Springs),5/20/14,2436-199-0004-V-03-3,VN-21745,Title V
1300005,Johns Manville Corp. Winder Facility,6/27/14,3296-013-0005-V-03-0,VN-21769,Title V
19300013,Weyerhaeuser NR Company - Flint River Operations,3/4/14,2611-193-0013-V-02-7,VN-21987,Title V
5100110,"Imperial-Savannah, L.P.",3/4/14,2062-051-0110-V-03-4,VN-22186,Title V
15300057,Houston County LFGTE Generation Plant,3/28/14,4911-153-0057-V-02-1,VN-22257,Title V
30300040,AL Sandersville,10/7/14,4911-303-0040-V-06-0,VN-22269,Title V
5100017,Ga Power Company - Plant Boulevard,9/19/14,4911-051-0017-V-05-0,VN-21982,Title V
5100046,Gulfstream Aerospace Corporation,1/14/14,3721-051-0046-V-03-1,VN-22235,Title V
26300013,Talbot Energy Facility,4/24/14,4911-263-0013-V-05-2,VN-22281,Title V
23300022,The HON Company,5/20/14,2522-233-0022-V-03-0,VN-21667,Title V
17900011,SNF - Riceboro,1/28/14,2899-179-0011-V-02-B,VN-21710,Title V
31900029,"CARBO CERAMICS, INC. - TOOMSBORO PLANT",5/30/14,3295-319-0029-V-03-0,VN-21787,Title V
13900002,Cargill Inc,7/8/13,2075-139-0002-V-02-5,VN-21788,Title V
11700059,Eagle Point Landfill,7/11/13,4953-117-0059-V-02-2,VN-21835,Title V
32100021,Olam Edible Nuts - Sylvester Plant,5/8/14,2068-321-0021-V-02-0,VN-21870,Title V
15700034,Dahlberg Combustion Turbine Electric Generating Plant,1/28/14,4911-157-0034-V-05-0,VN-21989,Title V
4500039,Printpack Inc,6/25/14,2759-045-0039-V-03-1,VN-22441,Title V
23300042,Sewell Creek Energy Facility,3/20/13,4911-233-0042-V-02-3,VN-21605,Title V
29700042,Walton County Power LLC,6/25/14,4911-297-0042-V-03-0,VN-21790,Title V
21300034,Thomas A. Smith Energy Facility,8/29/13,4911-213-0034-V-07-1,VN-21952,Title V
15900012,GEORGIA-PACIFIC - MONTICELLO MDF,11/7/14,2493-159-0012-V-03-0,VN-21810,Title V
2100195,Macon Walker Road MSW Landfill,12/30/15,4953-021-0195-V-03-0,VN-22152,Title V
15300041,Graphic Packaging International Inc.,12/16/14,2657-153-0041-V-05-0,VN-22463,Title V
5100205,Superior Landfill & Recycling Center,7/8/14,4953-051-0205-V-02-1,VN-22465,Title V
1500056,TrinityRail Inc. Plant No. 493,6/13/14,3743-015-0056-V-04-1,VN-22542,Title V
7300004,"GIW Industries, Inc.",10/16/14,3561-073-0004-V-03-1,VN-22566,Title V
15300003,"CEMEX Southeast, LLC",1/16/15,3241-153-0003-V-05-4,VN-22673,Title V
5100037,EMD MILLIPORE CORPORATION,11/5/14,2816-051-0037-V-03-2,VN-22753,Title V
1700031,Southern Veneer Products,4/1/15,2436-017-0031-V-03-3,VN-22868,Title V
14900005,Hawk Road Energy Facility,11/12/14,4911-149-0005-V-07-1,VN-22895,Title V
8900317,Atlanta Marble Manufacturing,8/18/15,3089-089-0317-V-03-0,VN-22949,Title V
28500048,Kimberly-Clark Corporation,7/6/15,2297-285-0048-V-04-0,VN-22862,Title V
13500219,UWL/Richland Creek Road Sanitary Landfill,1/21/15,4953-135-0219-V-03-1,VN-22885,Title V
27100022,Telfair Forest Products LLC,6/1/15,2499-271-0022-V-04-0,VN-22912,Title V
24700052,"Jet Corr II, Inc.",7/17/15,2679-247-0052-V-03-0,VN-22951,Title V
21500050,Keebler Company - Columbus Bakery,1/21/15,2052-215-0050-V-05-0,VN-22610,Title V
10300003,Ga Power Co Plt McIntosh,1/21/15,4911-103-0003-V-03-2,VN-22705,Title V
30300004,Imerys - Sandersville Calcine Plant,2/4/15,3295-303-0004-V-03-1,VN-22740,Title V
5100012,Epic Savannah North Terminal,4/23/15,2911-051-0012-V-06-0,VN-22807,Title V
5100007,International Paper - Savannah,7/17/15,2631-051-0007-V-03-0,VN-22889,Title V
24500003,"DSM CHEMICALS NORTH AMERICA, LLC",2/6/15,2869-245-0003-V-04-5,VN-23036,Title V
20500047,"Flint Hills Resources Camilla, LLC",5/26/15,2869-205-0047-V-04-0,VN-40108,Title V
24500006,INTERNATIONAL PAPER - AUGUSTA MILL,8/18/15,2631-245-0006-V-03-1,VN-40083,Title V
19900004,Georgia-Pacific Wood Products LLC (Warm Springs),8/27/15,2436-199-0004-V-03-4,VN-23260,Title V
13500139,Dolco Packaging,2/18/16,3086-135-0139-V-04-0,VN-40131,Title V
11500016,GEORGIA-PACIFIC WOOD PRODUCTS SOUTH LLC LUMBER PLANT,10/28/15,2421-115-0016-V-04-1,VN-40038,Title V
5500001,Mount Vernon Mills,4/21/16,2211-055-0001-V-04-0,VN-40143,Title V
10300007,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (SAVANNAH RIVER MILL),7/6/15,2621-103-0007-V-04-4,VN-23171,Title V
500008,Milliken & Co Alma Plant,1/19/16,2281-005-0008-V-04-0,VN-23183,Title V
11500003,Ga Power Company - Plant Hammond,4/20/16,4911-115-0003-V-03-7,VN-23341,Title V
14900001,Ga Power Company - Plant Wansley,4/20/16,4911-149-0001-V-03-8,VN-23346,Title V
13900046,MILLIKEN & CO NEW HOLLAND PLT,11/17/15,2281-139-0046-V-03-1,VN-23473,Title V
17100005,JORDAN FOREST PRODUCTS,3/4/16,2421-171-0005-V-04-1,VN-40486,Title V
18500009,LANGDALE FOREST PRODUCTS CO.,4/8/16,2421-185-0009-V-03-2,VN-40473,Title V
18900019,Georgia-Pacific Panel Products LLC - Thomson Particleborad Plant,8/17/15,2493-189-0019-V-03-1,VN-23120,Title V
24500003,"DSM CHEMICALS NORTH AMERICA, LLC",10/5/15,2869-245-0003-V-04-6,VN-23512,Title V
1500011,Ga Power Company - Plant Bowen,11/12/15,4911-015-0011-V-03-7,VN-23531,Title V
19300013,Weyerhaeuser NR Company - Flint River Operations,4/21/16,2611-193-0013-V-03-3,VN-40355,Title V
24500024,Boral Bricks - Plant #6,12/3/15,3251-245-0024-V-05-0,VN-23165,Title V
14900001,Ga Power Company - Plant Wansley,3/10/16,4911-149-0001-V-03-7,VN-40280,Title V
3300030,Southern Nuclear Operating Company - Plant Vogtle,9/28/06,4911-033-0030-V-02-1,VN-16721,Title V
6500005,BWAY Packaging,11/8/06,3411-065-0005-V-02-2,VN-16718,Title V
6300059,Delta Air Lines Inc - Atlanta Station,4/9/09,4512-063-0059-V-02-0,VN-16763,Title V
8700050,TexPar Energy LLC,1/10/07,2992-087-0050-V-03-0,VN-16751,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,8/4/06,4512-063-0105-V-01-5,VN-16807,Title V
8900047,GRAPHIC PACKAGING INTERNATIONAL,7/20/06,2657-089-0047-V-03-0,VN-16801,Title V
8900233,Emory University,7/24/08,8221-089-0233-V-03-0,VN-16794,Title V
13900054,"Wrigley Manufacturing Company, LLC",2/13/08,2067-139-0054-V-02-0,VN-16787,Title V
27700061,Chickasha of Georgia,10/23/08,2074-277-0061-V-03-1,VN-18379,Title V
5100012,Epic Savannah North Terminal,7/13/99,2911-051-0012-V-01-0,VN-8901,Title V
8900086,General Motors Midsize Car Div. - Doraville,10/21/03,3711-089-0086-V-01-0,VN-9217,Title V
12500001,"Thiele Kaolin Company, Reedy Creek",12/27/01,3295-125-0001-V-01-0,VN-9248,Title V
6700003,Ga Power Company - Plant McDonough/Atkinson,5/27/99,4911-067-0003-V-01-0,VN-9291,Title V
8900128,Transmontaigne Operating Co LP,10/25/01,5171-089-0128-V-02-0,VN-9282,Title V
31300059,Beaulieu Seretean,2/15/99,2273-313-0059-S-02-0,,Title V
28500046,Milliken & Company - Elm City Plant,11/30/01,2262-285-0046-V-01-0,VN-9330,Title V
26100047,C-E Minerals Plant 2,12/19/02,3255-261-0047-V-04-0,VN-9372,Title V
5100169,Colonial Shipyard,9/30/99,3731-051-0169-V-01-0,VN-9355,Title V
13900054,"Wrigley Manufacturing Company, LLC",12/17/01,2067-139-0054-V-01-0,VN-9350,Title V
8900031,"Siemens Energy & Automation, Inc.",5/13/99,3643-089-0031-V-01-0,VN-9403,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,6/26/02,4512-063-0105-V-01-0,VN-9421,Title V
27100020,Amercord,5/22/02,3315-271-0020-V-01-0,VN-9414,Title V
31300054,Trinseo,8/27/98,2822-313-0054-V-01-0,VN-9859,Title V
8700037,BASF Catalysts LLC-Attapulgus Operations,6/19/02,3295-087-0037-V-01-0,VN-9625,Title V
4500038,Southwire Company Machine Services,5/31/00,3449-045-0038-V-01-0,VN-9765,Title V
8900143,QG Printing Corp.,11/17/97,2752-044-1251-0,VN-8969,Title V
3900002,Bayer CropScience - Woodbine Plant,1/10/00,2879-039-0002-V-01-0,VN-8995,Title V
10900008,Georgia-Pacific Wood Products LLC Claxton - Chip-N-Saw,10/18/00,2421-109-0008-V-01-0,VN-9078,Title V
21100015,Wellington Leisure Products Inc,9/13/99,3089-211-0015-V-01-0,VN-9112,Title V
29300004,Yamaha Music Manufacturing Inc,4/20/99,3931-293-0004-V-01-0,VN-9100,Title V
18500001,PCA Valdosta Mill,7/16/02,2631-185-0001-V-01-0,VN-9139,Title V
29300012,1888 Mills-Thomaston,5/10/01,2211-293-0012-V-01-0,VN-9127,Title V
6700093,Sterigenics U.S. LLC,6/2/99,7389-067-0093-V-01-0,VN-9123,Title V
11500077,BALL CONTAINER LLC ROME CAN PLANT,10/18/00,3411-115-0077-V-01-0,VN-9173,Title V
8900233,Emory University,12/27/01,8221-089-0233-V-01-0,VN-9213,Title V
30300009,Burgess Pigment Company,12/27/01,3295-303-0009-V-01-0,VN-9210,Title V
14700021,Hartwell Energy Facility,7/9/98,4911-147-0021-V-01-0,VN-9201,Title V
7700010,"Bon L Manufacturing Company, Inc.",1/9/03,3354-077-0010-V-01-0,VN-9190,Title V
21500164,Panasonic Battery Corporation Of America - Lithium Div,9/28/01,3692-215-0164-V-01-0,VN-9187,Title V
25700008,Roselane Development Company LLC,12/4/00,2269-257-0008-V-01-0,VN-9185,Title V
15300014,Anchor Glass Container Corporation,7/9/01,3221-153-0014-V-02-0,VN-9184,Title V
24500021,US Army Signal Center & Fort Gordon,10/21/03,9711-245-0021-V-01-0,VN-10142,Title V
31300126,Chem-Tech Finishers Inc,9/26/00,2273-313-0126-V-01-0,VN-10326,Title V
9300027,Mid Georgia Processing (Shutting Down),1/11/00,2074-093-0027-V-01-0,VN-10372,Title V
8900005,Centers For Disease Control and Prevention (CDC),10/29/03,9431-089-0005-V-01-0,VN-11032,Title V
24500009,"Boral Bricks - Augusta Plants 3, 4, & 5",7/1/99,3251-245-0009-V-01-1,VN-11061,Title V
29900045,"Carolina Skiff, Llc",9/26/00,3732-299-0045-V-03-0,VN-11628,Title V
900003,Rheem Manufacturing Co,11/12/03,3585-009-0003-V-01-0,VN-11302,Title V
8100019,Aquatic CO,12/15/99,3088-081-0019-V-01-1,VN-11432,Title V
24500160,Deans Bridge Rd MSW Landfill,7/31/03,4953-245-0160-V-01-0,VN-10763,Title V
12100268,RM CLAYTON WATER RECLAMATION CENTER,3/7/07,4952-121-0268-V-01-0,VN-11943,Title V
23700131,Horton Homes Inc,7/23/03,2451-237-0131-V-01-0,VN-11923,Title V
10300003,Ga Power Co Plt McIntosh,2/14/00,4911-103-0003-V-01-1,VN-11979,Title V
31300054,Trinseo,7/31/00,2822-313-0054-V-01-3,VN-12031,Title V
15300003,"CEMEX Southeast, LLC",10/7/03,3241-153-0003-V-02-0,VN-12062,Title V
2100171,Micro-Med of Central,4/3/02,4953-021-0171-V-01-0,VN-12113,Title V
12100716,3M Atlanta,4/27/01,2851-121-0716-V-02-0,VN-12654,Title V
6700093,Sterigenics U.S. LLC,2/23/01,7389-067-0093-V-02-0,VN-12705,Title V
9500023,Marine Corps Logistics Base,4/1/03,9711-095-0023-V-01-2,VN-13260,Title V
28900003,IMERYS PIGMENTS & ADDITIVES GROUP,6/3/02,3295-289-0003-V-03-1,VN-13259,Title V
7700005,Caldwell Tanks-Lower Fayetteville Rd.,9/10/01,3443-077-0005-V-01-1,VN-13257,Title V
3100008,International Agile Manufacturing LLC,11/5/01,3321-031-0008-V-02-0,VN-13231,Title V
8100019,Aquatic CO,9/25/03,3088-081-0019-V-01-2,VN-13340,Title V
4500052,Southwire Company Carrollton Utility Products Plant,6/3/02,3357-045-0052-V-01-1,VN-12961,Title V
4500038,Southwire Company Machine Services,10/12/01,3449-045-0038-V-01-1,VN-13014,Title V
24500002,PCS NITROGEN FERTILIZER L.P.,9/7/01,2873-245-0002-V-01-2,VN-13063,Title V
12100334,"Owens Corning Roofing And Asphalt, Llc",3/23/04,2952-121-0334-V-01-2,VN-13176,Title V
17900021,Mainship Corporation,9/28/01,3732-179-0021-V-02-0,VN-12616,Title V
15300011,"Interfor U.S., Inc.",10/31/01,2421-153-0011-V-01-0,VN-12644,Title V
11500021,International Paper Company (Rome Linerboard Mill),1/16/03,2631-115-0021-V-01-2,VN-13895,Title V
30500001,"Rayonier Performance Fibers, LLC",7/23/03,2631-305-0001-V-01-1,VN-13911,Title V
14700016,Monroe Automotive Equipment,11/12/02,3714-147-0016-V-01-1,VN-13910,Title V
5100005,"Solenis, LLC",8/26/04,2899-051-0005-V-01-2,VN-13983,Title V
17500047,Victor Forstmann Inc,6/17/03,2231-175-0047-V-01-1,VN-13968,Title V
15900009,Georgia-Pacific Wood Products LLC (Monticello Plywood),11/28/02,2436-159-0009-V-01-0,VN-14107,Title V
29500007,Dow Reichhold Specialty Latex Llc,12/14/01,2821-295-0007-V-02-0,VN-13470,Title V
6700003,Ga Power Company - Plant McDonough/Atkinson,9/25/02,4911-067-0003-V-01-3,VN-13499,Title V
11500003,Ga Power Company - Plant Hammond,9/25/02,4911-115-0003-V-01-3,VN-13498,Title V
27500022,BEADLES & BALFOUR,9/12/02,2421-275-0022-V-03-1,VN-13542,Title V
28500062,Guardian Automotive Lagrange Plastics Plt,10/21/03,3089-285-0062-V-01-1,VN-13666,Title V
5100019,Georgia-Pacific Gypsum LLC - Savannah Plant,8/23/03,3275-051-0019-V-01-1,VN-13707,Title V
1500032,Gerdau Ameristeel US Inc.,7/31/02,3312-015-0032-V-01-1,VN-13699,Title V
29700042,Walton County Power LLC,4/1/03,4911-297-0042-V-01-0,VN-13692,Title V
8900127,Citgo Petroleum Corp,5/2/02,5171-089-0127-V-01-1,VN-13733,Title V
16900010,Atlanta Gas Light Company - Macon LNG Plant,7/3/02,4924-169-0010-V-01-3,VN-13731,Title V
6300112,"Express Jet Airlines, Inc.",5/28/03,4512-063-0112-V-01-0,VN-13762,Title V
900035,"Southern Natural Gas Company, L.L.C - Hall Gate Comp. Station",9/5/03,4922-009-0035-V-01-1,VN-14385,Title V
16300028,"Southern Natural Gas Company, L.L.C - Wrens Comp. Station",9/5/03,4922-163-0028-V-01-1,VN-14384,Title V
14900001,Ga Power Company - Plant Wansley,5/11/04,4911-149-0001-V-01-7,VN-14382,Title V
6700003,Ga Power Company - Plant McDonough/Atkinson,5/11/04,4911-067-0003-V-01-5,VN-14381,Title V
5900015,"Power Partners Holdings, LLC",12/9/03,3612-059-0015-V-02-0,VN-14505,Title V
18500094,TLC Building Components,1/14/04,2421-185-0094-V-02-0,VN-14492,Title V
14300017,Plantation Pipe Line Co,4/27/06,4613-143-0017-V-01-1,VN-14610,Title V
30500001,"Rayonier Performance Fibers, LLC",11/14/03,2631-305-0001-V-01-2,VN-14663,Title V
8700053,Bainbridge Power Facility,7/8/04,4911-087-0053-V-01-1,VN-14650,Title V
27100004,Telfair Forest Products LLC,3/11/04,2421-271-0004-V-01-2,VN-14927,Title V
4500012,Southwire Company Carrollton Building Wire Plant,9/30/04,3357-045-0012-V-01-3,,Title V
18500051,ADM VALDOSTA,10/12/04,2075-185-0051-V-01-2,VN-15017,Title V
30700001,"Interfor U.S., Inc.",12/14/05,2421-307-0001-V-02-0,VN-14991,Title V
24500024,Boral Bricks - Plant #6,6/14/05,3251-245-0024-V-03-0,VN-14989,Title V
22500001,Blue Bird Body Company,8/5/05,3173-225-0001-V-03-4,VN-14707,Title V
18500001,PCA Valdosta Mill,2/24/04,2631-185-0001-V-01-2,VN-14770,Title V
1500032,Gerdau Ameristeel US Inc.,4/21/04,3312-015-0032-V-03-0,VN-14811,Title V
9900001,Georgia-Pacific Cedar Springs LLC,7/5/05,2631-099-0001-V-01-5,VN-14798,Title V
6700093,Sterigenics U.S. LLC,7/19/05,7389-067-0093-V-03-0,VN-14871,Title V
6700004,Ga Power Company - Plant Atkinson,3/24/03,4911-067-0003-V-01-4,VN-14215,Title V
21700021,Bard C R Inc Urologic,7/22/04,3841-217-0021-V-02-0,VN-14233,Title V
30500001,"Rayonier Performance Fibers, LLC",8/10/05,2635-305-0001-V-01-4,VN-15601,Title V
4500008,Southwire Company -Carrollton,9/30/04,3351-045-0008-V-02-2,VN-15640,Title V
5100007,International Paper - Savannah,6/2/05,2631-051-0007-V-01-4,VN-15676,Title V
5700036,ATLANTA GAS LIGHT CO.,8/31/06,4924-057-0036-V-02-0,VN-15697,Title V
6300008,SHERWIN-WILLIAMS CO,6/2/05,2851-063-0008-V-02-0,VN-15727,Title V
11300010,Avery Dennison - Fasson Roll North America,3/3/06,2672-113-0010-V-02-0,VN-15772,Title V
13900106,"Hall County, Engineering Division",1/10/06,4953-139-0106-V-02-0,VN-15842,Title V
12700003,Brunswick Cellulose Inc,6/9/05,2631-127-0003-V-04-3,VN-15835,Title V
